sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
0000399391F86A5C889B5166CEA46FD2F514B6DA68CE541E66575CF2D9E14E00,DD1A1347912189BF9BA867FE24425CE7101141A3,DE73E8377CBEB7D1FFC26F389ED46988,1980-01-01 00:00:00,35433331,"com.tinylabproductions.pirates",55002,,,8669072,play.google.com
000039BCA5C0F3722E746A44942308184552C046B6D24C2417DB78F3A9EA8C7D,499E002D79083C299B565E0AF94D21269FEC0685,625265CABFF50B1EF762F73C6994F5B2,2016-05-20 16:42:54,3264729,"net.Brussels.indexcity",78,0,2016-07-15 05:07:46,3349960,play.google.com
000039C61012480E58FC642604A5A53972B0414D9F78CF25A01D45D3438DBC77,14CBE4F99E721442E44744501A381D6338EC68F3,4D98EA17531ECE000C11F522ED6B36F8,2011-12-11 20:26:22,2972974,"com.skyd.bestpuzzle.comic.n75",1,0,2013-09-27 00:43:28,1780876,anzhi|appchina|angeeks
00003A3053A69E443D9EBB565ADC02901F8DAF0F3E293E1F6E4D573799C8E2FF,D091696E09962ED03080EB785725F793D256C079,55743423EF67F9D0E77B61EB578CC722,2015-10-19 19:02:00,5573403,"com.hoge.appl2cfs60qvx",11,0,2015-12-22 12:40:31,5038676,anzhi
00003A877E8FFAFFF496C6DADFC6FBA534D4C8E78D1CE10ED445F2884D548398,5DAF1BB9AF3F187A0589E8708BA1293C361B8086,3CCB8CABC1ECC01110A7F0C94AC7CB59,1980-01-01 00:00:00,28625393,"com.superfanu.oilcityhighschooloilers",7000005,0,2018-10-04 15:59:58,7956808,play.google.com
00003C7D8AFE1A74613E80A19920BCE74A61CE37DF9146FB062C8BE8FF90E71F,3D8E5A88B73DB37E011CE6A4B6ADB9D9CBB8456B,C9DD0C4473BAA3F926CEA1F7F8B8B99D,2016-06-23 14:35:16,21227413,"com.auctionmobility.auctions.vinpresariowineauctions",20,0,2016-07-04 03:59:09,8308796,play.google.com
000040123DF387DFBBB46132E26CE74A75D3935E5A04656E48EBB882107E953F,DA688385842395A4E360143C6F5319820479DA8A,3E1F3A20672DE2BC54CA713E046EA3B0,2016-05-19 01:34:26,3992726,"m.m.m2",2,0,2016-07-11 05:55:33,6989532,play.google.com
000040290A90F689FB71A84A1D85064867E6A4924E5B034331BE716578D108A2,016A46DC6F1D938CCE35720967D702E95F06D27E,BD659637EA02EA1C450FD019F3D14630,1980-01-01 00:00:00,45969,"com.jase.kr.web",1,0,2019-08-21 04:58:21,10336,play.google.com
00004295316D5993B4607D230954AB2A5E3CCA611F7B4212FB31E5F93585B04F,59EDBD3827C183337E05B1C6F80B99DC83A52C1A,1393B436F070825C97DD1517B6F8972F,1980-01-01 00:00:00,3020719,"com.smallappdeveloper.uklocalnews",7,0,2019-06-27 19:52:15,5178000,play.google.com
000042D8EC830FD5F2DAF1C4D6B35E302395A85F3F1A63A09D5C4CE914296293,69E8233C89F6F0E5AC9F0DAE7585C648F54F52E0,CF2B903206826BBBFA4D3595D8DA6BED,2018-08-10 11:10:52,56955211,"com.kbcard.kat.liivmate",14401,,,12230364,play.google.com
000046AF75B3E9B34D9DF6B5084A7649D5A0B4DF82CA1E4F87EA61423B92ACF5,6E2A457615A1756942CC49EC646885C91381CD4A,67ACC09D7F876BC7E80A39B59BBD216B,1980-01-01 00:00:00,1460067,"com.cidcnh.caseihen",20107,0,2018-10-21 19:45:53,212720,play.google.com
000048F8B651BD30B43BF85D3AC384174B9FC6E191D31EF6DA95F1BED45F393E,777ED5875A2FDD9B753BAE537559C826C3AD98BC,B58EA071865C31E5F8D4334355882AD6,1980-01-01 00:00:00,7228262,"com.fun.tigerlivewallpaper",3,0,2018-05-26 20:34:57,7088248,play.google.com
000049F9C8B2421F186FB9E4E02852B2F51DDF6301E14FE0C5133CA17E45B28C,d491be64367cb117985a3bf02e7327a1e9a8e9f7,b160de0eef5d37d0f913def27fcca67e,2008-02-29 03:33:46,3860453,"net.teamdtr.tears910e",1,0,2014-03-05 23:13:37,55592,anzhi
00004AA285BED9AFE873CAD6C2FC36E912ACC1B29C31B26F30596A6BD2827F4F,C6D90E8E7B6886FA6B0996DD4783D0A95A0E212E,454A1D0E29EBEBFDF6398CDEFF89157E,1980-01-01 00:00:00,6381915,"tatcomputer.ir.twoplayers",17,0,2019-09-08 02:12:28,7250520,play.google.com
00004E66BB318B7B8155D67272A35A5B84130521EB8BD896B913F3B6417B6E3E,FE30474609415E2ADF702B01B71A847AAD0792CD,682B865E1D1A0BCFA33AEE60221ADFE9,2016-03-10 04:24:56,7714717,"com.dev.chehiwat.maghribia.bledna",5,0,2016-04-25 09:18:32,3304180,play.google.com
00004F927EC28B9AE762EA0C8FD638F91E6F995CA443A8454E049B1681CE653B,354D0884F71700C3B44256A98C7BD034C279AADC,C9F1EBEDB1C45FDC3707D35AF9267C62,1980-01-01 00:00:00,21479921,"eplusmoment.ds.dfd",8,0,2018-06-25 09:52:35,4915308,play.google.com
0000518E240F5FE821DCF86939A79688E5C26CB52C8005FEA1F7DB829485F52C,5C0D26259EEE9CDF5F3C5C0681B7EE4564915E45,3DC8BC3351785E06F24E4BEAB1C4044F,1980-01-01 00:00:00,3801205,"com.w2cyk.android.rfinder",306,,,3372796,play.google.com
00005958E2E97FF7A887EAA58E06B0F3C217FDFC2940DCF76A4B60A9D8A98832,50D481768FE49BF40131A115ABDAE25ABCAF5E54,530078A7234849A482E148B5FD962633,1980-01-01 00:00:00,3336077,"com.a24thlab.aggregatecalculator",11,0,2018-08-23 12:36:12,5447760,play.google.com
00005BE947A8F108382B59CED7D1E95871A68539C00FF53FD3E1D93C58E2BA6C,610a2a2b6cbde74725b46486b9c720877f4fca70,adcfff48f32e1e38bebdfc03d75b1e54,2014-07-09 15:41:52,19977282,"com.taolimogucun.dkdk",220010031,5,2014-07-26 04:22:09,366236,anzhi
00005CE360664A0E9D0F32EE10A8F8D76DFD2233E35C3976DC98D39E7E8922D1,DBCA30A48BE6F1E3E6A2E3D820939C8075FFF59C,22CF1EB9D4473623101C7663C0259B17,2016-08-21 04:55:52,26178657,"com.netpulse.mobile.creekbridgefitness",106,0,2018-03-11 18:59:13,8558172,play.google.com
00005E488E7136B04778F51A81233329D98F0DD2D11F22E317183CF8809372DF,B1AA537FCAD45CF8A7104359F783FFDC42A06DFB,D4B03CB2E4C65133094017025E435A68,2016-04-30 23:38:20,8393385,"com.supergsc",6,0,2016-07-20 01:31:06,4698680,anzhi
000068216BDB459DF847BFDD67DD11069C3C50166DB1EA8772CDC9250D948BCF,11d111a51f18aa132d5a86e80649abd27a040659,459a529fa6e04951c5643f782d9acc82,2011-05-01 17:05:54,113036,"com.paklena.batterydiviner.free",9,0,2013-12-09 00:07:18,143008,PlayDrone|play.google.com
0000683F5A1F827C69113A8533ED153FE994462AE89FB4BC47A7AF6FF208D1B3,542862511507DFC7C3415D3FA6B1187562E155F1,7515F52A0831DBC8134AFEF3E84CF0C6,2016-05-24 15:17:02,19276679,"com.GoldStudio.TurtleParkour",2,0,2016-09-12 18:23:17,6170568,play.google.com
0000689BF34A969056E8190B4421945B098B890E1EA7001003A78BD13825B5DB,3c04afb60d992fbc452860a6499ab5d69949f01e,a56560e5ba668b25f81ebea24c019199,2012-08-20 09:10:22,18513984,"com.acevireally.firsttvinnytheviking",5,11,2013-07-26 12:22:58,1135636,anzhi
00006A949178EABB448A95205C56CDE902A60050168877044489468200EBE748,39A14EDB2880A21FA730A923D6EB4EB8B2589036,A43BA364E733DDF860385BFAD4B141E4,2016-07-19 11:08:46,20831796,"com.ncbhk.mortgage.android.hk",5,0,2016-08-07 04:43:33,3607468,play.google.com
00006C299C7F86623A783E52AF5257958F75B7625A4D1EB76C64A0C745B4803C,C94F0BECE837668CA82517369665EEEFEC4B78F6,FE63872B2D0A0EF725BEA44DC765835B,1980-01-01 00:00:00,71939246,"com.dhcomms_mansecalendar",15,,,5324088,play.google.com
